product_id,product_name,category,series_id,launch_date,price,cost,material,color,style,size,weight,feature_tags,target_user,platform,views,clicks,consultations,conversions,revenue,refund_count,review_count,avg_rating,is_new_version,parent_product_id
p_0017,智能桌面灯 wireless_charging+eye_protection版,home_product,desk_lamp_modern,2026-05-02,199.0,85,silicone,gray,minimal,S,0.95,wireless_charging|eye_protection,creators,zhihu,4917,198,23,5,995.0,0,3,3.87,0,
p_0018,智能桌面灯 timer+wireless_charging版,home_product,desk_lamp_modern,2026-06-02,228.85,85,paper,gray,tech,L,1.4,timer|wireless_charging,solo_founders,bilibili,18371,1044,77,17,3890.45,0,9,4.15,0,
p_0019,智能桌面灯 touch_control+ambient_light版,home_product,desk_lamp_modern,2026-06-13,228.85,85,wood,blue,cute,L,0.87,touch_control|ambient_light|timer|wireless_charging,office_workers,xiaohongshu,14434,576,72,10,2288.5,0,2,4.35,0,
p_0020,智能桌面灯 eye_protection+ambient_light版,home_product,desk_lamp_modern,2026-03-03,169.15,85,plastic,black,tech,S,1.22,eye_protection|ambient_light|timer|touch_control,students,douyin,3792,155,21,3,507.45,0,1,4.89,0,
p_0021,智能桌面灯 touch_control+eye_protection版,home_product,desk_lamp_modern,2026-01-29,169.15,85,aluminum,white,classic,L,1.72,touch_control|eye_protection|ambient_light,solo_founders,xiaohongshu,3434,123,13,4,676.6,0,1,3.98,1,p_0017
p_0022,智能桌面灯 ambient_light+timer版,home_product,desk_lamp_modern,2026-05-27,199.0,85,fabric,blue,cute,standard,1.94,ambient_light|timer,office_workers,douyin,4895,300,28,6,1194.0,0,4,3.99,1,p_0017
p_0023,智能桌面灯 timer+eye_protection版,home_product,desk_lamp_modern,2026-06-12,228.85,85,fabric,black,cute,L,2.05,timer|eye_protection|touch_control,students,zhihu,2793,181,22,3,686.55,0,1,4.62,1,p_0017
p_0024,智能桌面灯 eye_protection+touch_control版,home_product,desk_lamp_modern,2026-05-15,199.0,85,wood,white,business,L,2.21,eye_protection|touch_control,solo_founders,wechat,16148,1035,131,47,9353.0,0,33,4.66,0,
p_0025,效率笔记本 minimal_design+thick_paper版,stationery,notebook_pro,2026-01-24,52.65,12,paper,black,cute,L,0.3,minimal_design|thick_paper,tech_enthusiasts,xiaohongshu,4951,227,24,4,210.6,0,2,4.02,0,
p_0026,效率笔记本 thick_paper+waterproof_cover版,stationery,notebook_pro,2026-02-13,52.65,12,silicone,gray,classic,S,0.37,thick_paper|waterproof_cover|weekly_plan,solo_founders,wechat,9660,350,39,7,368.55,0,3,4.26,0,
p_0027,效率笔记本 weekly_plan+soft_binding版,stationery,notebook_pro,2026-03-30,33.15,12,fabric,black,business,S,0.92,weekly_plan|soft_binding,students,douyin,3713,183,27,8,265.2,0,3,4.24,0,
p_0028,效率笔记本 weekly_plan+minimal_design版,stationery,notebook_pro,2026-03-04,39.0,12,metal,white,business,M,1.99,weekly_plan|minimal_design,tech_enthusiasts,douyin,7150,340,45,19,741.0,0,5,4.23,0,
p_0029,效率笔记本 thick_paper+soft_binding版,stationery,notebook_pro,2026-02-07,44.85,12,plastic,black,classic,L,0.9,thick_paper|soft_binding|minimal_design|weekly_plan,solo_founders,bilibili,7207,252,40,6,269.1,0,1,3.64,0,
p_0030,效率笔记本 weekly_plan+soft_binding版,stationery,notebook_pro,2026-01-26,44.85,12,paper,black,classic,M,1.12,weekly_plan|soft_binding|waterproof_cover|minimal_design,office_workers,zhihu,15959,642,120,19,852.15,0,7,3.94,1,p_0025
p_0031,效率笔记本 minimal_design+soft_binding版,stationery,notebook_pro,2026-02-15,39.0,12,metal,gray,minimal,L,2.21,minimal_design|soft_binding|weekly_plan|thick_paper,solo_founders,wechat,3256,148,23,11,429.0,0,4,4.42,1,p_0025
p_0032,效率笔记本 weekly_plan+minimal_design版,stationery,notebook_pro,2026-06-16,33.15,12,metal,black,cute,M,0.18,weekly_plan|minimal_design|thick_paper|soft_binding,students,douyin,7937,402,46,8,265.2,0,5,4.76,1,p_0025
