content_id,content_group_id,account_id,account_name,platform,series_id,parent_content_id,content_similarity_group,knowledge_domain,topic,difficulty_level,title,title_style,content_type,cover_style,publish_time,weekday,hour,language,duration_sec,production_hours,followers_before,novelty_score,duplication_risk,user_fatigue_risk,views,likes,favorites,comments,shares,new_followers,consultations,conversions,revenue,cost,ad_spend,is_sponsored
c_0011,cg_009,acc_ai_bili,AI工具B站号,bilibili,ai_tool_growth_series,,cg_009,solo_business,一人公司经营,beginner,手把手讲清楚一人公司经营的核心方法,tutorial,livestream_clip,product_closeup,2026-03-21T21:00:00,Saturday,21,zh,855,4.38,52702,0.697,0.349,0.087,4700,189,95,43,33,21,10,1,331.61,0,0,0
c_0012,cg_009,acc_ai_douyin,AI工具抖音号,douyin,ai_tool_growth_series,,cg_009,solo_business,一人公司经营,beginner,我第一次真正理解一人公司经营的过程,story,livestream_clip,product_closeup,2026-03-23T21:00:00,Monday,21,zh,373,4.98,132812,0.644,0.275,0.069,19134,531,237,183,78,153,17,1,304.24,787.01,787.01,1
c_0013,cg_009,acc_ai_cn_big,AI工具中文号,xiaohongshu,ai_tool_growth_series,,cg_009,solo_business,一人公司经营,beginner,用一人公司经营把效率提升一倍的方法,result_oriented,long_video,diagram,2026-03-24T23:00:00,Tuesday,23,zh,672,4.91,86455,0.98,0.038,0.009,6904,189,445,63,22,105,31,5,2785.51,100,0,0
c_0014,cg_010,acc_robot_wechat,桌面机器人公众号,wechat,robot_feature_series,,cg_010,AI_hardware,桌面陪伴机器人,beginner,手把手讲清楚桌面陪伴机器人的核心方法,tutorial,short_video,diagram,2026-02-15T12:00:00,Sunday,12,zh,202,8.23,17771,0.554,0.551,0.138,2388,71,59,18,11,10,9,1,1481.38,0,0,0
c_0015,cg_011,acc_math_zhihu,数学知识知乎号,zhihu,pricing_series,,cg_011,solo_business,知识产品定价,intermediate,我第一次真正理解知识产品定价的过程,story,carousel,product_closeup,2026-02-21T08:00:00,Saturday,8,zh,880,6.43,24397,0.724,0.141,0.035,4189,143,125,23,24,39,23,3,1470.93,100,0,0
c_0016,cg_011,acc_ai_bili,AI工具B站号,bilibili,pricing_series,,cg_011,solo_business,知识产品定价,intermediate,手把手讲清楚知识产品定价的核心方法,tutorial,livestream_clip,screenshot,2026-02-22T21:00:00,Sunday,21,zh,412,4.44,52698,0.687,0.391,0.098,6457,292,142,93,31,58,24,4,1207.52,50,0,0
c_0017,cg_012,acc_ai_douyin,AI工具抖音号,douyin,pricing_series,,cg_012,solo_business,知识产品定价,intermediate,理解知识产品定价的7个关键点,number,short_video,clean_text,2026-04-30T12:00:00,Thursday,12,zh,611,8.11,127395,0.662,0.166,0.041,12981,564,241,99,40,74,18,2,793.21,694.72,694.72,0
c_0018,cg_012,acc_math_zhihu,数学知识知乎号,zhihu,pricing_series,,cg_012,solo_business,知识产品定价,intermediate,为什么你学了知识产品定价还是不会用？,pain_point,carousel,clean_text,2026-05-03T21:00:00,Sunday,21,zh,274,7.91,29663,0.476,0.442,0.11,1233,39,31,10,4,5,3,0,0.0,100,0,0
c_0019,cg_013,acc_ai_bili,AI工具B站号,bilibili,pricing_series,,cg_013,solo_business,知识产品定价,intermediate,用知识产品定价把效率提升一倍的方法,result_oriented,short_video,clean_text,2026-02-13T21:00:00,Friday,21,zh,809,2.15,52502,0.433,0.493,0.123,11788,380,211,91,49,115,34,13,8198.69,200,0,0
c_0020,cg_014,acc_math_zhihu,数学知识知乎号,zhihu,pricing_series,,cg_014,solo_business,知识产品定价,intermediate,我用知识产品定价做了一个真实案例,case_study,long_video,face,2026-05-08T21:00:00,Friday,21,zh,169,7.94,27178,0.77,0.182,0.045,4319,149,167,52,12,63,22,5,2344.32,20,0,0
c_0021,cg_015,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_015,math_signal,拉普拉斯变换,intermediate,我用拉普拉斯变换做了一个真实案例,case_study,article,face,2026-02-14T12:00:00,Saturday,12,zh,0,5.05,44903,0.723,0.248,0.062,1630,60,66,9,7,11,1,0,0.0,100,0,0
c_0022,cg_016,acc_ai_bili,AI工具B站号,bilibili,pricing_series,,cg_016,solo_business,知识产品定价,intermediate,为什么你学了知识产品定价还是不会用？,pain_point,carousel,clean_text,2026-03-16T18:00:00,Monday,18,zh,371,7.36,52742,0.527,0.362,0.09,13390,629,270,141,29,87,34,5,1696.25,500,0,0
c_0023,cg_016,acc_ai_douyin,AI工具抖音号,douyin,pricing_series,,cg_016,solo_business,知识产品定价,intermediate,理解知识产品定价的7个关键点,number,carousel,product_closeup,2026-03-16T21:00:00,Monday,21,zh,295,4.34,126153,0.739,0.267,0.067,46214,2729,1255,252,228,401,64,7,2932.36,893.21,893.21,0
c_0024,cg_016,acc_math_zhihu,数学知识知乎号,zhihu,pricing_series,,cg_016,solo_business,知识产品定价,intermediate,我用知识产品定价做了一个真实案例,case_study,long_video,diagram,2026-03-17T08:00:00,Tuesday,8,zh,270,5.47,25772,0.542,0.481,0.12,3191,135,99,23,14,13,15,4,1703.68,50,0,0
c_0025,cg_017,acc_ai_bili,AI工具B站号,bilibili,ai_tool_growth_series,,cg_017,creator_growth,内容复盘方法,beginner,理解内容复盘方法的7个关键点,number,long_video,diagram,2026-01-29T18:00:00,Thursday,18,zh,49,2.84,46024,0.918,0.195,0.049,4021,209,92,30,19,11,8,0,0.0,0,0,0
c_0026,cg_018,acc_robot_xhs,桌面机器人小红书,xiaohongshu,robot_feature_series,,cg_018,AI_hardware,桌面陪伴机器人,beginner,桌面陪伴机器人看起来很难，其实关键只有这一点,contrast,long_video,clean_text,2026-04-10T21:00:00,Friday,21,zh,414,2.47,39285,0.351,0.591,0.148,3864,108,77,17,14,26,15,2,2583.6,50,0,0
c_0027,cg_018,acc_robot_wechat,桌面机器人公众号,wechat,robot_feature_series,,cg_018,AI_hardware,桌面陪伴机器人,beginner,用桌面陪伴机器人把效率提升一倍的方法,result_oriented,short_video,clean_text,2026-04-08T18:00:00,Wednesday,18,zh,61,1.81,21869,0.829,0.161,0.04,5004,229,88,21,25,30,21,6,6691.77,20,0,0
c_0028,cg_019,acc_ai_bili,AI工具B站号,bilibili,ai_tool_growth_series,,cg_019,creator_growth,内容复盘方法,beginner,手把手讲清楚内容复盘方法的核心方法,tutorial,long_video,screenshot,2026-03-09T21:00:00,Monday,21,zh,425,8.46,52692,0.37,0.648,0.197,3320,151,123,13,14,11,4,0,0.0,200,0,0
c_0029,cg_020,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_020,math_signal,拉马努金变换,advanced,我用拉马努金变换做了一个真实案例,case_study,carousel,diagram,2026-05-28T12:00:00,Thursday,12,zh,393,10.96,42022,0.521,0.5,0.125,1690,100,88,13,5,9,1,0,0.0,20,0,0
c_0030,cg_021,acc_math_zhihu,数学知识知乎号,zhihu,ai_tool_growth_series,,cg_021,creator_growth,内容复盘方法,beginner,我第一次真正理解内容复盘方法的过程,story,article,diagram,2026-05-26T08:00:00,Tuesday,8,zh,0,1.68,27043,0.57,0.547,0.207,4318,166,119,26,16,26,7,2,632.72,20,0,0
c_0031,cg_022,acc_robot_xhs,桌面机器人小红书,xiaohongshu,robot_feature_series,,cg_022,AI_hardware,桌面陪伴机器人,beginner,理解桌面陪伴机器人的7个关键点,number,article,screenshot,2026-01-17T12:00:00,Saturday,12,zh,0,4.02,33887,0.937,0.022,0.006,7344,292,229,47,28,49,16,3,3522.11,100,0,0
c_0032,cg_022,acc_robot_wechat,桌面机器人公众号,wechat,robot_feature_series,,cg_022,AI_hardware,桌面陪伴机器人,beginner,桌面陪伴机器人到底有什么用？,question,short_video,clean_text,2026-01-21T18:00:00,Wednesday,18,zh,826,5.64,23601,0.624,0.315,0.079,4438,185,61,31,12,25,4,1,1153.24,500,0,0
c_0033,cg_023,acc_ai_douyin,AI工具抖音号,douyin,ai_tool_growth_series,,cg_023,solo_business,一人公司经营,beginner,我用一人公司经营做了一个真实案例,case_study,long_video,clean_text,2026-03-31T21:00:00,Tuesday,21,zh,696,2.13,130059,0.45,0.515,0.234,2691,72,41,17,10,46,10,0,0.0,50,0,0
c_0034,cg_024,acc_ai_bili,AI工具B站号,bilibili,pricing_series,,cg_024,solo_business,知识产品定价,intermediate,理解知识产品定价的7个关键点,number,carousel,meme,2026-04-20T08:00:00,Monday,8,zh,574,1.52,50937,0.582,0.372,0.093,3166,120,105,32,14,26,2,0,0.0,500,0,0
c_0035,cg_024,acc_math_zhihu,数学知识知乎号,zhihu,pricing_series,,cg_024,solo_business,知识产品定价,intermediate,为什么你学了知识产品定价还是不会用？,pain_point,long_video,face,2026-04-17T12:00:00,Friday,12,zh,279,3.18,27684,0.691,0.264,0.066,1445,66,46,22,3,11,3,0,0.0,100,0,0
c_0036,cg_025,acc_math_zhihu,数学知识知乎号,zhihu,ai_tool_growth_series,,cg_025,creator_growth,内容复盘方法,beginner,我第一次真正理解内容复盘方法的过程,story,long_video,diagram,2026-04-08T21:00:00,Wednesday,21,zh,700,3.38,22392,0.568,0.396,0.239,1686,74,71,19,3,5,2,0,0.0,0,0,0
c_0037,cg_025,acc_ai_bili,AI工具B站号,bilibili,ai_tool_growth_series,,cg_025,creator_growth,内容复盘方法,beginner,理解内容复盘方法的7个关键点,number,carousel,product_closeup,2026-04-08T21:00:00,Wednesday,21,zh,664,3.52,53349,0.323,0.696,0.314,3138,88,169,20,13,10,4,0,0.0,50,0,0
c_0038,cg_026,acc_robot_wechat,桌面机器人公众号,wechat,robot_feature_series,,cg_026,AI_hardware,桌面陪伴机器人,beginner,我用桌面陪伴机器人做了一个真实案例,case_study,long_video,product_closeup,2026-01-21T23:00:00,Wednesday,23,zh,72,6.6,19131,0.679,0.333,0.083,3927,224,133,18,15,25,18,9,18093.33,200,0,0
c_0039,cg_027,acc_ai_douyin,AI工具抖音号,douyin,ai_tool_growth_series,,cg_027,solo_business,一人公司经营,beginner,用一人公司经营把效率提升一倍的方法,result_oriented,long_video,product_closeup,2026-03-14T21:00:00,Saturday,21,zh,689,8.35,126939,0.63,0.328,0.257,17722,679,393,120,61,160,34,3,1141.05,50,0,1
c_0040,cg_028,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_028,math_signal,小波变换,advanced,用小波变换把效率提升一倍的方法,result_oriented,carousel,clean_text,2026-01-15T08:00:00,Thursday,8,zh,661,4.5,44047,0.933,0.116,0.029,3918,128,230,31,13,20,4,1,89.63,100,0,0
c_0041,cg_029,acc_ai_bili,AI工具B站号,bilibili,ai_tool_growth_series,,cg_029,AI_tools,AI工具自动化,intermediate,用AI工具自动化把效率提升一倍的方法,result_oriented,livestream_clip,diagram,2026-04-26T21:00:00,Sunday,21,zh,878,5.23,46053,0.419,0.495,0.334,3784,141,36,25,9,13,6,0,0.0,100,0,0
c_0042,cg_030,acc_robot_xhs,桌面机器人小红书,xiaohongshu,robot_feature_series,,cg_030,AI_hardware,桌面陪伴机器人,beginner,为什么你学了桌面陪伴机器人还是不会用？,pain_point,carousel,clean_text,2026-05-31T21:00:00,Sunday,21,zh,64,1.43,41449,0.853,0.313,0.078,4386,136,138,19,24,28,7,1,1596.43,200,0,0
c_0043,cg_031,acc_ai_cn_big,AI工具中文号,xiaohongshu,ai_tool_growth_series,,cg_031,creator_growth,内容复盘方法,beginner,我第一次真正理解内容复盘方法的过程,story,long_video,screenshot,2026-06-12T21:00:00,Friday,21,zh,229,6.68,88163,0.382,0.564,0.386,4103,104,90,26,13,21,5,0,0.0,200,0,0
c_0044,cg_031,acc_ai_bili,AI工具B站号,bilibili,ai_tool_growth_series,,cg_031,creator_growth,内容复盘方法,beginner,我用内容复盘方法做了一个真实案例,case_study,carousel,product_closeup,2026-06-14T08:00:00,Sunday,8,zh,598,2.95,45946,0.614,0.358,0.335,3408,140,133,28,14,15,12,2,608.7,200,0,0
c_0045,cg_032,acc_ai_douyin,AI工具抖音号,douyin,ai_tool_growth_series,,cg_032,AI_tools,AI工具自动化,intermediate,用AI工具自动化把效率提升一倍的方法,result_oriented,short_video,diagram,2026-06-20T18:00:00,Saturday,18,zh,777,7.52,126436,0.444,0.561,0.42,27560,1223,343,143,108,218,34,5,938.44,100,0,0
c_0046,cg_033,acc_ai_bili,AI工具B站号,bilibili,ai_tool_growth_series,,cg_033,creator_growth,内容复盘方法,beginner,手把手讲清楚内容复盘方法的核心方法,tutorial,article,face,2026-02-26T21:00:00,Thursday,21,zh,0,6.74,48331,0.148,0.941,0.55,1257,36,46,8,5,6,2,0,0.0,200,0,0
c_0047,cg_033,acc_ai_douyin,AI工具抖音号,douyin,ai_tool_growth_series,,cg_033,creator_growth,内容复盘方法,beginner,手把手讲清楚内容复盘方法的核心方法,tutorial,short_video,screenshot,2026-02-26T12:00:00,Thursday,12,zh,635,2.64,126831,0.789,0.14,0.35,23375,895,641,108,135,221,19,2,508.89,400.62,400.62,0
c_0048,cg_034,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_034,math_signal,拉马努金变换,advanced,拉马努金变换看起来很难，其实关键只有这一点,contrast,short_video,face,2026-04-27T08:00:00,Monday,8,zh,783,6.5,40215,0.295,0.655,0.199,1128,29,31,9,4,6,0,0,0.0,0,0,0
c_0049,cg_034,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_034,math_signal,拉马努金变换,advanced,为什么你学了拉马努金变换还是不会用？,pain_point,long_video,face,2026-04-28T18:00:00,Tuesday,18,zh,261,3.73,22188,0.65,0.307,0.112,6405,215,234,44,22,23,7,1,92.66,50,0,0
c_0050,cg_035,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_035,math_signal,拉普拉斯变换,intermediate,用拉普拉斯变换把效率提升一倍的方法,result_oriented,carousel,face,2026-06-09T21:00:00,Tuesday,21,zh,100,4.97,20987,0.519,0.396,0.169,7182,194,310,52,32,46,18,4,360.48,100,0,0
c_0051,cg_035,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_035,math_signal,拉普拉斯变换,intermediate,为什么你学了拉普拉斯变换还是不会用？,pain_point,livestream_clip,screenshot,2026-06-08T12:00:00,Monday,12,zh,579,3.72,39762,0.647,0.387,0.167,10445,518,322,110,95,75,12,2,260.71,500,0,0
c_0052,cg_036,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_036,math_signal,傅里叶变换,intermediate,我第一次真正理解傅里叶变换的过程,story,livestream_clip,clean_text,2026-01-30T12:00:00,Friday,12,zh,640,7.57,38869,0.771,0.268,0.172,5076,140,143,49,26,39,9,1,100.11,50,0,0
c_0053,cg_037,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_037,math_signal,拉普拉斯变换,intermediate,拉普拉斯变换看起来很难，其实关键只有这一点,contrast,long_video,clean_text,2026-06-02T18:00:00,Tuesday,18,zh,248,7.49,25455,0.545,0.376,0.234,5955,313,319,37,31,18,5,1,132.72,200,0,0
c_0054,cg_037,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_037,math_signal,拉普拉斯变换,intermediate,拉普拉斯变换到底有什么用？,question,short_video,diagram,2026-06-01T23:00:00,Monday,23,zh,794,1.92,40272,0.98,0.205,0.191,7270,444,205,82,50,42,3,0,0.0,200,0,0
c_0055,cg_038,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_038,math_signal,小波变换,advanced,手把手讲清楚小波变换的核心方法,tutorial,article,screenshot,2026-03-11T18:00:00,Wednesday,18,zh,0,11.99,27916,0.368,0.544,0.311,507,19,26,5,2,4,1,0,0.0,200,0,0
c_0056,cg_038,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_038,math_signal,小波变换,advanced,为什么你学了小波变换还是不会用？,pain_point,article,screenshot,2026-03-13T08:00:00,Friday,8,zh,0,2.16,43109,0.379,0.611,0.328,6473,228,187,39,17,27,4,1,100.72,0,0,0
c_0057,cg_039,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_039,math_signal,傅里叶变换,intermediate,傅里叶变换到底有什么用？,question,carousel,clean_text,2026-03-14T18:00:00,Saturday,18,zh,272,7.26,41580,0.53,0.478,0.329,5381,273,253,45,25,18,6,1,99.95,0,0,0
c_0058,cg_039,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_039,math_signal,傅里叶变换,intermediate,我第一次真正理解傅里叶变换的过程,story,article,product_closeup,2026-03-12T08:00:00,Thursday,8,zh,0,5.09,28395,0.397,0.82,0.415,2142,89,98,11,7,20,4,0,0.0,20,0,0
c_0059,cg_040,acc_ai_cn_big,AI工具中文号,xiaohongshu,ai_tool_growth_series,,cg_040,AI_tools,AI工具自动化,intermediate,用AI工具自动化把效率提升一倍的方法,result_oriented,short_video,face,2026-07-03T18:00:00,Friday,18,zh,670,3.73,85399,0.627,0.45,0.462,9314,291,219,39,39,44,11,1,167.13,100,0,0
c_0060,cg_041,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_041,math_signal,拉普拉斯变换,intermediate,我用拉普拉斯变换做了一个真实案例,case_study,short_video,screenshot,2026-04-07T23:00:00,Tuesday,23,zh,177,5.68,39965,0.372,0.733,0.428,4596,189,85,21,22,24,5,1,80.27,100,0,0
c_0061,cg_041,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_041,math_signal,拉普拉斯变换,intermediate,手把手讲清楚拉普拉斯变换的核心方法,tutorial,long_video,screenshot,2026-04-07T08:00:00,Tuesday,8,zh,261,4.23,26408,0.617,0.378,0.339,2390,50,131,20,15,15,3,0,0.0,200,0,0
c_0062,cg_042,acc_math_zhihu,数学知识知乎号,zhihu,robot_feature_series,,cg_042,AI_hardware,桌面陪伴机器人,beginner,为什么你学了桌面陪伴机器人还是不会用？,pain_point,long_video,screenshot,2026-01-31T08:00:00,Saturday,8,zh,225,5.73,27080,0.762,0.224,0.056,3111,118,64,29,7,9,12,1,1561.89,100,0,0
c_0063,cg_042,acc_robot_wechat,桌面机器人公众号,wechat,robot_feature_series,,cg_042,AI_hardware,桌面陪伴机器人,beginner,桌面陪伴机器人看起来很难，其实关键只有这一点,contrast,carousel,screenshot,2026-02-03T21:00:00,Tuesday,21,zh,723,1.83,17931,0.489,0.582,0.145,1237,42,23,9,7,7,5,0,0.0,200,0,0
c_0064,cg_043,acc_ai_bili,AI工具B站号,bilibili,ai_tool_growth_series,,cg_043,AI_tools,AI工具自动化,intermediate,我用AI工具自动化做了一个真实案例,case_study,short_video,face,2026-06-28T18:00:00,Sunday,18,zh,316,2.53,48729,0.097,0.91,0.613,2655,112,32,19,10,8,5,0,0.0,20,0,0
c_0065,cg_044,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_044,math_signal,拉普拉斯变换,intermediate,理解拉普拉斯变换的7个关键点,number,article,face,2026-05-29T18:00:00,Friday,18,zh,0,5.21,28428,0.412,0.47,0.398,2487,91,88,11,10,26,4,1,102.63,500,0,0
c_0066,cg_044,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_044,math_signal,拉普拉斯变换,intermediate,我第一次真正理解拉普拉斯变换的过程,story,short_video,screenshot,2026-05-30T23:00:00,Saturday,23,zh,99,6.93,42516,0.721,0.272,0.348,2901,127,116,27,21,16,4,0,0.0,500,0,0
c_0067,cg_045,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_045,math_signal,拉普拉斯变换,intermediate,理解拉普拉斯变换的7个关键点,number,article,face,2026-04-23T21:00:00,Thursday,21,zh,0,6.04,20152,0.446,0.41,0.418,5677,276,178,60,29,18,9,2,179.88,200,0,1
c_0068,cg_046,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_046,math_signal,傅里叶变换,intermediate,为什么你学了傅里叶变换还是不会用？,pain_point,long_video,face,2026-03-17T08:00:00,Tuesday,8,zh,695,1.45,29066,0.239,0.804,0.551,1502,50,69,13,5,4,0,0,0.0,20,0,0
c_0069,cg_047,acc_robot_xhs,桌面机器人小红书,xiaohongshu,robot_feature_series,,cg_047,AI_hardware,桌面陪伴机器人,beginner,手把手讲清楚桌面陪伴机器人的核心方法,tutorial,article,clean_text,2026-01-26T21:00:00,Monday,21,zh,0,1.41,35329,0.665,0.358,0.089,4381,275,195,29,19,39,12,2,2675.53,50,0,0
c_0070,cg_048,acc_ai_cn_big,AI工具中文号,xiaohongshu,ai_tool_growth_series,,cg_048,creator_growth,内容复盘方法,beginner,内容复盘方法看起来很难，其实关键只有这一点,contrast,carousel,face,2026-05-08T12:00:00,Friday,12,zh,546,7.42,82734,0.331,0.653,0.583,5697,185,256,37,20,25,11,2,646.62,200,0,0
c_0071,cg_049,acc_ai_cn_big,AI工具中文号,xiaohongshu,ai_tool_growth_series,,cg_049,creator_growth,内容复盘方法,beginner,为什么你学了内容复盘方法还是不会用？,pain_point,carousel,clean_text,2026-03-01T08:00:00,Sunday,8,zh,240,3.05,84979,0.05,0.95,0.693,7482,276,190,69,18,17,8,1,280.47,100,0,0
c_0072,cg_050,acc_math_zhihu,数学知识知乎号,zhihu,ai_tool_growth_series,,cg_050,creator_growth,内容复盘方法,beginner,手把手讲清楚内容复盘方法的核心方法,tutorial,livestream_clip,diagram,2026-03-10T12:00:00,Tuesday,12,zh,369,3.25,24455,0.05,0.95,0.728,7812,181,109,71,25,39,8,0,0.0,500,0,0
c_0073,cg_051,acc_ai_cn_big,AI工具中文号,xiaohongshu,pricing_series,,cg_051,solo_business,知识产品定价,intermediate,为什么你学了知识产品定价还是不会用？,pain_point,long_video,diagram,2026-02-12T08:00:00,Thursday,8,zh,262,1.81,86563,0.507,0.586,0.146,4703,204,188,15,20,47,7,1,442.41,0,0,0
c_0074,cg_052,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_052,math_signal,小波变换,advanced,手把手讲清楚小波变换的核心方法,tutorial,article,clean_text,2026-01-07T08:00:00,Wednesday,8,zh,0,11.42,28614,0.462,0.434,0.493,1369,45,76,14,8,6,3,0,0.0,100,0,0
c_0075,cg_052,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_052,math_signal,小波变换,advanced,小波变换到底有什么用？,question,article,face,2026-01-06T23:00:00,Tuesday,23,zh,0,9.73,41878,0.325,0.61,0.538,2296,70,103,18,5,10,1,0,0.0,200,0,0
c_0076,cg_053,acc_ai_bili,AI工具B站号,bilibili,ai_tool_growth_series,,cg_053,AI_tools,AI工具自动化,intermediate,我用AI工具自动化做了一个真实案例,case_study,short_video,face,2026-04-16T08:00:00,Thursday,8,zh,216,6.41,53385,0.167,0.882,0.745,3694,65,67,47,9,14,5,1,172.2,500,0,0
c_0077,cg_053,acc_ai_douyin,AI工具抖音号,douyin,ai_tool_growth_series,,cg_053,AI_tools,AI工具自动化,intermediate,AI工具自动化到底有什么用？,question,livestream_clip,diagram,2026-04-16T08:00:00,Thursday,8,zh,539,7.59,131754,0.05,0.95,0.762,6881,183,36,44,50,42,10,1,155.23,100,0,0
c_0078,cg_054,acc_ai_bili,AI工具B站号,bilibili,ai_tool_growth_series,,cg_054,AI_tools,AI工具自动化,intermediate,用AI工具自动化把效率提升一倍的方法,result_oriented,short_video,clean_text,2026-04-26T12:00:00,Sunday,12,zh,437,5.2,52043,0.18,0.812,0.763,2517,84,44,18,16,13,2,0,0.0,20,0,0
c_0079,cg_054,acc_ai_cn_big,AI工具中文号,xiaohongshu,ai_tool_growth_series,,cg_054,AI_tools,AI工具自动化,intermediate,理解AI工具自动化的7个关键点,number,long_video,clean_text,2026-04-28T21:00:00,Tuesday,21,zh,387,7.02,86782,0.05,0.893,0.783,2260,80,55,18,14,9,3,0,0.0,0,0,0
c_0080,cg_055,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_055,math_signal,小波变换,advanced,我第一次真正理解小波变换的过程,story,short_video,screenshot,2026-07-07T08:00:00,Tuesday,8,zh,570,10.23,21843,0.467,0.469,0.537,3542,129,121,40,12,23,6,1,89.39,500,0,0
