revenue_id,date,amount,revenue_type,platform,content_id,product_id,client_name,status,note
r_0040,2026-01-26,2675.53,service,xiaohongshu,c_0069,,C工作室,received,content attributed revenue
r_0041,2026-05-08,646.62,digital_product,xiaohongshu,c_0070,,,received,content attributed revenue
r_0042,2026-03-01,280.47,service,xiaohongshu,c_0071,,C工作室,received,content attributed revenue
r_0043,2026-02-12,442.41,service,xiaohongshu,c_0073,,B客户,received,content attributed revenue
r_0044,2026-04-16,172.2,affiliate,bilibili,c_0076,,A品牌,received,content attributed revenue
r_0045,2026-04-16,155.23,course,douyin,c_0077,,C工作室,received,content attributed revenue
r_0046,2026-07-07,89.39,service,zhihu,c_0080,,A品牌,received,content attributed revenue
r_0047,2026-04-03,1021.66,course,douyin,c_0082,,,received,content attributed revenue
r_0048,2026-05-12,16230.12,service,wechat,c_0083,,B客户,pending,content attributed revenue
r_0049,2026-05-14,13265.35,digital_product,xiaohongshu,c_0084,,,received,content attributed revenue
r_0050,2026-01-24,104.34,digital_product,zhihu,c_0090,,A品牌,pending,content attributed revenue
r_0051,2026-01-31,394.75,consulting,douyin,c_0092,,,overdue,content attributed revenue
r_0052,2026-06-27,105.71,course,zhihu,c_0093,,,received,content attributed revenue
r_0053,2026-06-26,78.96,affiliate,bilibili,c_0094,,C工作室,received,content attributed revenue
r_0054,2026-03-25,7434.7,consulting,wechat,c_0095,,,received,content attributed revenue
r_0055,2026-05-17,386.51,course,bilibili,c_0097,,C工作室,received,content attributed revenue
r_0056,2026-05-18,1777.74,affiliate,xiaohongshu,c_0098,,A品牌,received,content attributed revenue
r_0057,2026-02-27,468.37,course,xiaohongshu,c_0100,,,received,content attributed revenue
r_0058,2026-05-05,407.07,course,bilibili,c_0102,,C工作室,received,content attributed revenue
r_0059,2026-04-22,41827.8,product_sales,xiaohongshu,,p_0001,,received,product sales
r_0060,2026-04-19,22083.0,product_sales,douyin,,p_0002,,received,product sales
r_0061,2026-04-23,13444.65,product_sales,xiaohongshu,,p_0003,,received,product sales
r_0062,2026-04-08,83655.6,product_sales,douyin,,p_0004,,pending,product sales
r_0063,2026-03-15,26889.3,product_sales,bilibili,,p_0005,,received,product sales
r_0064,2026-02-10,44166.0,product_sales,bilibili,,p_0006,,received,product sales
r_0065,2026-02-24,15782.85,product_sales,bilibili,,p_0007,,received,product sales
r_0066,2026-06-07,63651.0,product_sales,zhihu,,p_0008,,received,product sales
r_0067,2026-04-22,673.2,product_sales,bilibili,,p_0009,,received,product sales
r_0068,2026-05-05,2806.65,product_sales,douyin,,p_0010,,received,product sales
r_0069,2026-06-10,1138.5,product_sales,xiaohongshu,,p_0011,,received,product sales
r_0070,2026-03-10,2049.3,product_sales,zhihu,,p_0012,,received,product sales
r_0071,2026-05-04,925.65,product_sales,douyin,,p_0013,,received,product sales
r_0072,2026-04-17,6014.25,product_sales,wechat,,p_0014,,received,product sales
r_0073,2026-01-23,4950.0,product_sales,bilibili,,p_0015,,received,product sales
r_0074,2026-04-19,9702.0,product_sales,bilibili,,p_0016,,received,product sales
r_0075,2026-05-02,995.0,product_sales,zhihu,,p_0017,,received,product sales
r_0076,2026-06-02,3890.45,product_sales,bilibili,,p_0018,,received,product sales
r_0077,2026-06-13,2288.5,product_sales,xiaohongshu,,p_0019,,received,product sales
r_0078,2026-03-03,507.45,product_sales,douyin,,p_0020,,received,product sales
r_0079,2026-01-29,676.6,product_sales,xiaohongshu,,p_0021,,received,product sales
r_0080,2026-05-27,1194.0,product_sales,douyin,,p_0022,,received,product sales
r_0081,2026-06-12,686.55,product_sales,zhihu,,p_0023,,received,product sales
r_0082,2026-05-15,9353.0,product_sales,wechat,,p_0024,,received,product sales
r_0083,2026-01-24,210.6,product_sales,xiaohongshu,,p_0025,,received,product sales
r_0084,2026-02-13,368.55,product_sales,wechat,,p_0026,,received,product sales
r_0085,2026-03-30,265.2,product_sales,douyin,,p_0027,,received,product sales
r_0086,2026-03-04,741.0,product_sales,douyin,,p_0028,,pending,product sales
r_0087,2026-02-07,269.1,product_sales,bilibili,,p_0029,,received,product sales
r_0088,2026-01-26,852.15,product_sales,zhihu,,p_0030,,received,product sales
r_0089,2026-02-15,429.0,product_sales,wechat,,p_0031,,received,product sales
r_0090,2026-06-16,265.2,product_sales,douyin,,p_0032,,received,product sales
