feedback_id,user_id,source_type,related_content_id,related_product_id,user_segment,country,platform,feedback_text,rating,sentiment,issue_type,severity,created_at,converted_after_feedback,retained_after_feedback
F0015,U0015,comment,,P-LAMP-002,office_user,SG,xiaohongshu,高级数学内容收藏价值很高，适合做资料包,4,positive,emotional_value,low,2026-05-26T14:08:13,False,True
F0016,U0016,survey,C0016,,small_shop,CN,bilibili,手机壳颜色好看但转化不强，想看真实上手图,3,negative,trust,medium,2026-05-27T14:08:13,False,False
F0017,U0017,beta_test,,P-CASE-002,creator,US,douyin,价格有点高，但情绪陪伴功能很吸引我,5,negative,pricing,high,2026-05-28T14:08:13,True,True
F0018,U0018,review,,P-NOTE-001,student,SG,wechat,外观很可爱，放在桌面很有陪伴感,2,positive,design,low,2026-05-29T14:08:13,False,True
F0019,U0019,comment,C0019,,office_user,CN,xiaohongshu,语音反应有点慢，希望下一版更快,4,negative,performance,high,2026-05-12T14:08:13,False,False
F0020,U0020,survey,,P-AI-002,small_shop,US,bilibili,触摸互动很惊喜，但我还不确定会不会长期使用,4,neutral,emotional_value,medium,2026-05-13T14:08:13,False,True
F0021,U0021,beta_test,,P-AI-003,creator,SG,douyin,希望增加日程提醒和更多音乐,3,neutral,feature_request,medium,2026-05-14T14:08:13,True,True
F0022,U0022,review,C0022,,student,CN,wechat,傅里叶变换讲得清楚，但后面几期有点重复,5,negative,content_clarity,medium,2026-05-15T14:08:13,False,False
F0023,U0023,comment,,P-LAMP-001,office_user,US,zhihu,高级数学内容收藏价值很高，适合做资料包,2,positive,emotional_value,low,2026-05-16T14:08:13,False,True
F0024,U0024,survey,,P-LAMP-002,small_shop,SG,xiaohongshu,手机壳颜色好看但转化不强，想看真实上手图,4,negative,trust,medium,2026-05-17T14:08:13,False,True
F0025,U0025,beta_test,C0025,,creator,CN,bilibili,价格有点高，但情绪陪伴功能很吸引我,4,negative,pricing,high,2026-05-18T14:08:13,True,False
F0026,U0026,review,,P-CASE-002,student,US,douyin,外观很可爱，放在桌面很有陪伴感,3,positive,design,low,2026-05-19T14:08:13,False,True
F0027,U0027,comment,,P-NOTE-001,office_user,SG,wechat,语音反应有点慢，希望下一版更快,5,negative,performance,high,2026-05-20T14:08:13,False,True
F0028,U0028,survey,C0028,,small_shop,CN,xiaohongshu,触摸互动很惊喜，但我还不确定会不会长期使用,2,neutral,emotional_value,medium,2026-05-21T14:08:13,False,False
F0029,U0029,beta_test,,P-AI-002,creator,US,bilibili,希望增加日程提醒和更多音乐,4,neutral,feature_request,medium,2026-05-22T14:08:13,True,True
F0030,U0030,review,,P-AI-003,student,SG,douyin,傅里叶变换讲得清楚，但后面几期有点重复,4,negative,content_clarity,medium,2026-05-23T14:08:13,False,True
F0031,U0031,comment,C0031,,office_user,CN,wechat,高级数学内容收藏价值很高，适合做资料包,3,positive,emotional_value,low,2026-05-24T14:08:13,False,False
F0032,U0032,survey,,P-LAMP-001,small_shop,US,zhihu,手机壳颜色好看但转化不强，想看真实上手图,5,negative,trust,medium,2026-05-25T14:08:13,False,True
F0033,U0033,beta_test,,P-LAMP-002,creator,SG,xiaohongshu,价格有点高，但情绪陪伴功能很吸引我,2,negative,pricing,high,2026-05-26T14:08:13,True,True
F0034,U0034,review,C0034,,student,CN,bilibili,外观很可爱，放在桌面很有陪伴感,4,positive,design,low,2026-05-27T14:08:13,False,False
F0035,U0035,comment,,P-CASE-002,office_user,US,douyin,语音反应有点慢，希望下一版更快,4,negative,performance,high,2026-05-28T14:08:13,False,True
F0036,U0036,survey,,P-NOTE-001,small_shop,SG,wechat,触摸互动很惊喜，但我还不确定会不会长期使用,3,neutral,emotional_value,medium,2026-05-29T14:08:13,False,True
